artist,title
The Avener,Fade out lines
Rihanna,Don't stop the music
HAEVN,Where the heart is
Jonas Brothers,What a man gotta do
Ellie Goulding,Something in the way you move
"Jonas Blue, Liam Payne, Lennon Stella",Polaroid
Meat Loaf,I'd do anything for love
Max Ava,Salt
Olly Murs feat. Snoop Dogg,Moves
Selena Gomez,Rare
Tom Gregory,Small steps
Kygo + Whitney Houston,Higher love
Biffy Clyro,Re-arrange
Christopher,Ghost
Madonna,Like a virgin
Ray Dalton,In my bones
Lenka,The show
Philipp Dittberner + Marv,Ich frag mich
DECCO x Alex Clare,Crazy to love you
Lauren Daigle,Rescue
The Faim,Humans
SZA + Justin,The other side (from Trolls World Tour)
Roxette,Fading like a flower
Dua Lipa,Physical
Lewis Capaldi,Before you go
Jennifer Lopez,Jenny from the block
Bon Jovi,Limitless
Camila Cabello,Liar
Billy Idol,White wedding
Lorde,Team
Marshmello feat. Bastille,Happier
Galantis feat. OneRepublic,Bones
Welshly Arms,Trouble
Robin Schulz feat. Ilsey,Headlights
Maroon 5,Memories
Alicia Keys,Empire state of mind (Part II) Broken down
Die Toten Hosen,Kamikaze (live)
MC Hammer,U can't touch this
Felix Jaehn + Vize feat. Miss Li,Close your eyes
The Red Hot Chili Peppers,Road trippin'
The Ware feat. Nina Supermassive,One night stand
Lukas Graham,Love someone
Ariana Grande,No tears left to cry
Ben Dolic feat. B-OK,Violent thing
Alec Benjamin,Let me down slowly
The Weeknd,Blinding lights
Massive [Massive Attack],Unfinished sympathy (Original)
Loud Luxury feat. Brando,Body
Liam Payne feat. A Boogie wit da Hoodie,Stack it up
Celeste,Stop this flame
Nickelback,Photograph
Halsey,You should be sad
"Naughty Boy feat. Beyonce, Arrow",Runnin' (Lose it all)
Stefanie Heinzmann feat. Jake Isaac,All we need is love
Corinne Bailey Rae,Put your records on
Emeli Sande,Shine
Corey Hart,Sunglasses at night
Lauv feat. Anne-Marie,"Fuck, I'm lonely"
Backstreet Boys,Incomplete
Tom Gregory,Fingertips
Sarah McLachlan,Angel
Martin Garrix feat. Dean Lewis,Used to love
Hailee Steinfeld,Capital letters
Alicia Keys,Underdog
Imagine Dragons,Thunder
Michael Schulte,Keep Me Up
Lana del Rey,Summertime Sadness
Nico Santos,Safe
R.E.M.,Losing My Religion
Felix Jaehn & Vize feat. Miss Li,Close Your Eyes
Gavin James,Always
Robin Thicke & Pharrell,Blurred Lines
Alma,Lonely night
George Ezra,Blame It On Me
Adel Tawil feat. Peachy,Tu M'Appelles
Emiliana Torrini,Jungle Drum
Lewis Capaldi,Before You Go
Martin Garrix feat. Dean Lewis,Used To Love
James Blunt,Cold
Adele,Set Fire To The Rain
Hugo Helmig,Wild
"Nena & Wilde,Kim","Anyplace, Anywhere, Anytime"
Harry Styles,Adore You
Mabel,Mad Love
Marlon Roudette,Anti Hero (Brave New World)
Justin Timberlake,Can't Stop The Feeling!
Jonas Brothers,What A Man Gotta Do
Frans,If I Were Sorry
Revolverheld,So Wie Jetzt
The Weeknd,Blinding Lights
Nelly Furtado & Rea Garvey,All Good Things (Come To An End)
Younotus & Janieck & Senex,Narcotic
Jax Jones & Raye,You Don't Know Me
Eagle Eye Cherry,Save Tonight
Shawn Mendes,If I Can’t Have You
Topic feat. A7S,Breaking me
Portugal. The Man,Feel It Still
Sido & Andreas Bourani,Astronaut
Murray Head,One Night In Bangkok
P!nk,Walk Me Home
Alle Farben,Bad Ideas
Ed Sheeran,Castle On The Hill
Keri Hilson,I Like
Johannes Oerding,Alles Okay
Eurythmics,Sweet Dreams
Kygo feat. Avicii & Sandro Cavazza,Forever Yours (Tribute)
The Strumbellas,Salvation
Calvin Harris & Pharrell Williams & Katy Perry & Big Sean,Feels
Twenty One Pilots,Stressed Out
Matt Simons,We Can Do Better
Natalie Imbruglia,Torn
Sam Smith,How Do You Sleep?
Ava Max,Salt
Pedro Capó,Calma
Hurts,Wonderful Life
Lady Gaga,Stupid Love
U2,With Or Without You
Alessia Cara,Scars To Your Beautiful
Deepend feat. Graham Candy,Waiting For The Summer
OneRepublic,Wanted
Klingande,Jubel
Imagine Dragons,Bad Liar
Ray Dalton,In My Bones
Alle Farben & Alexander Tidebrink,Follow You
Everything But The Girl,Missing
Mighty Oaks,Brother
Tones And I,Dance Monkey
Post Malone & Swae Lee,Circles
The Avener,Fade Out Lines
Max Giesinger,Nie besser als jetzt
Sunrise Avenue,Dreamer
Roxette,Listen To Your Heart
Michael Patrick Kelly,Roundabouts
Milky Chance,The Game
Robin Schulz,In Your Eyes
Cro,Traum
Welshly Arms,Sanctuary
The Cranberries,Zombie
Ben Dolic feat. B-OK,Violent Thing
Billie Eilish,Bad guy
Bruno Mars,Just The Way You Are
Blackbear,Me & Ur Ghost
Clean Bandit & Sean Paul & Anne-Marie,Rockabye
Queen,Another One Bites The Dust
George Ezra,Hold My Girl
Freya Ridings,Castles
Kyd The Band X Elley Duhé,Easy
Younotus & Julian Perretta,Your Favourite Song
Cassandra Steen & Adel Tawil,Stadt
Lions Head,When I Wake Up
Evanescence,Bring Me To Life
Matt Simons,Cold
Meduza feat. Goodboys,Piece Of Your Heart
Milow,Howling At The Moon
Alan Walker & Ava Max,Alone Part 2
Nico Santos,Unforgettable
Max Giesinger,Die Reise
The Police,Every Breath You Take
Taylor Swift & Brendon Urie,ME!
Madcon & Ray Dalton,Don't Worry
Johannes Oerding,An guten Tagen
Pink,Secrets
Jonas Brothers,Only Human
Sigma,Nobody To Love
Stefanie Heinzmann feat. Jake Isaac,All We Need Is Love
Ed Sheeran,Perfect
Fury In The Slaughterhouse,Time To Wonder
Jennifer Lopez,Ain't Your Mama
Mabel,Don't call me up
Robin Schulz & Piso 21,Oh Child
Millie Turner,January
John Newman,Love Me Again
Jax Jones feat. Ina Wroldsen,Breathe
Tal Bachman,She's So High
Rea Garvey,Kiss Me
Capital Cities,Safe And Sound
Luis Fonsi & Daddy Yankee,Despacito
Him,Join Me
Charlie Puth,How Long
Meduza & Becky Hill & Goodboys,Lose Control
Christopher,Irony
Mando Diao,Dance With Somebody
Silbermond,In Meiner Erinnerung
Midnight Oil,Beds Are Burning
Rita Ora,Anywhere
The Killers,Human
Giant Rooks,Watershed
Gamper & Dadoni feat. Emily Roberts,Bittersweet symphony
Coolio,Gangsta's Paradise
ZAYN x Sia,Dusk Till Dawn
Liam Payne feat. A Boogie wit da Hoodie,Stack It Up
Rihanna & Kanye West & Paul McCartney,FourFiveSeconds
Imagine Dragons,Natural
Kaleo,Way Down We Go
Tina Turner,What's Love Got To Do With It
The Faim,Fire
Maroon 5 & Christina Aguilera,Moves Like Jagger
Jonas Blue Feat. Jack & Jack,Rise
Robbie Williams,Supreme
LAUV,Tattoos Together
Kings Of Leon,Sex On Fire
Pink,What About Us
Alec Benjamin,Let Me Down Slowly
Lost Frequencies,Crazy
Namika,Lieblingsmensch
Queen,A Kind Of Magic
Sam Smith & Normani,Dancing With A Stranger
Selena Gomez,Lose You To Love Me
en Streubel,Am Mikrofon
The Airborne Toxic Event,Come on out
Aloe Blacc,I do
Keri Hilson,I like
Ed Sheeran + Justin Bieber,I don't care
Donna Lewis,I love you always forever
Jason Derulo,If I'm lucky
George Ezra,Don't matter now
Tori Amos,A sorta fairytale
Lauv,Tattoos together
Bastille + Alessia Cara,Another place
Clueso,Sag mir was du willst
Beyonce,If I were a boy
John Newman,Stand by me
Nico Santos,Play with fire
Aerosmith,I don't want to miss a thing
P!nk feat. Cash Cash,Can we pretend
Twenty One Pilots,Heathens
Stu Larsen,San Francisco
Lena,Don't lie to me
Bruce Springsteen,Cover me
Gamper + Dadoni feat. Emily Roberts,Bittersweet symphony
The Common Linnets,Calm after the storm
Dermot Kennedy,All my friends
Blondie,Call me
Daft Punk,One more time
Freya Ridings,Love is fire
Bear's Den,Agape
Ellie Goulding,Close to me
Fugees (Tranzlator Crew),Ready or not
Kygo feat. Avicii + Sandro Cavazza,Forever yours (Tribute)
Kelly Clarkson,Heartbeat song
Sam Smith + Normani,Dancing with a stranger
Anastacia,One day in your life
Lil Nas X feat. Billy Ray Cyrus,Old town road
Dean Lewis,7 minutes
Donna Missal,Hurt by you
Imagine Dragons,Demons
"LSD feat Labrinth, Sia and Diplo",Thunderclouds
Alle Farben feat. Alexander Tidebrink,Follow you
Lauren Daigle,You say
Tina Turner,I can't stand the rain
Inxs,Beautiful girl
The Fray,Over my head
Riton X Oliver Heldens feat. Vula,Turn me on
Sarah Connor + Henning Wehland,Bonnie + Clyde
George Ezra,Paradise
Texas,I don't want a lover
Kiddo x Gashi,Coming down
Kylie Minogue,Can't get you out of my head
Regard,Ride it
Jacob Banks,Unknown (to you)
Robin Schulz feat. Harloe,All this love
Caro Emerald,Back it up
Kaleo,I want more
Bran Van 3000,Drinking in L.A.
Taylor Swift,You Need To Calm Down
Bruno Mars,Locked Out Of Heaven
Bryan Adams,Heaven
Charlie Puth,Attention
Rihanna,S & M
Coldplay,Orphans
Of Monsters And Men,Little Talks
Ed Sheeran,Shape Of You
Depeche Mode,Precious
Lauv & Anne-Marie,"Fuck, I'm Lonely"
Nico & Vinz,Am I Wrong
Pink,Just Like Fire
Verve,Bitter Sweet Symphony (Bittersweet Symphony)
The Strumbellas,Spirits
Mark Forster,Sowieso
Last Goodnight,Pictures Of You
Jonas Blue & Dakota,Fast Car
Roxette,Fading Like A Flower
Alle Farben & Justin Jesso,As Far As Feelings Go
Katy Perry,Never Really Over
R. City & Adam Levine,Locked Away
Sunrise Avenue,Thank You For Everything
Wincent Weiss,Musik Sein
Kungs & Cookin' On 3 Burners,This Girl
Olly Murs,Dear Darlin'
Genesis,I Can't Dance
Felix Jaehn feat. Calum Scott,Love On Myself
The Script & Will.I.Am,Hall Of Fame
Sia,Never Give Up
A-ha,Take On Me
Max Giesinger,Roulette
Decco X Alex Clare,Crazy To Love You
Adele,Rolling In The Deep
George Ezra,Shotgun
Gigi D'Agostino,La Passion
Avicii,Waiting For Love
Dennis Lloyd,Nevermind
Madonna,Like A Prayer
Eli,Change Your Mind
Matt Simons,After The Landslide
Sam Fender,Will We Talk?
Pink,Whatever You Want
Die Toten Hosen,Altes Fieber
Halsey,You Should Be Sad
Ofenbach,Be Mine
Justin Timberlake feat. Chris Stapleton,Say Something
Dr.Alban,It's My Life
Faul & Wad Ad vs. Pnau,Changes
James Blunt,The Truth
Johannes Oerding,Kreise
Michael Jackson,Thriller
Nico Santos,Play With Fire
"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These days
Silbermond,B 96
Charlie Puth,One Call Away
Kid Rock,All Summer Long
Reamonn,Supergirl
Calvin Harris feat. Rag'n'bone Man,Giant
Fleetwood Mac,Everywhere
Revolverheld,So wie jetzt
Katy Perry & Skip Marley,Chained To The Rhythm
Martin Solveig & Dragonette,Hello
Meredith Brooks,Bitch
Daddy Yankee Feat. Snow,Con Calma
Liam Payne & Jonas Blue,Polaroid
Kwabs,Walk
Clueso,Sag Mir Was Du Willst
Sia & Kendrick Lamar,The Greatest
Ten Sharp,You
Michael Patrick Kelly & Gentleman,iD
Rita Ora,Your song
Freya Ridings,Love Is Fire
Philipp Dittberner & Marv,So kann es weitergehen
Calvin Harris feat. Sam Smith,Promises
Roxette,Joyride
Rudimental & James Arthur,Sun Comes Up
Elle King,Ex's & Oh's
Justin Jesso,Getting Closer
Crystal Waters,Gypsy Woman
Lost Frequencies feat. The Nghbrs,Like I Love You
Years & Years,King
Robbie Williams,Come Undone
Sunrise Avenue,Flag
Alice Merton,Why So Serious
Joris,Herz Über Kopf
Metallica,Nothing Else Matters
Shawn Mendes & Camila Cabello,Señorita
Jason Derulo,Want To Want Me
Linkin Park & Kiiara,Heavy
Counting Crows,Mr. Jones
Colbie Caillat,Bubbly
David Guetta & Cedric Gervais & Chris Willis,Would I Lie To You
Peter Fox,Haus Am See
George Ezra,Don't Matter Now
Bon Jovi,Always
Bastille,Things We Lost In The Fire
Panic! At The Disco,High hopes
The Connells,74-75
Mando Diao,Black Saturday
Kygo & Parson James,Stole The Show
Imany,Don't Be So Shy
Genesis,Invisible Touch
Avicii & Aloe Blacc,Wake Me Up
Ed Sheeran & Khalid,Beautiful People
Dido,White Flag
Dennis Lloyd,Never Go Back
Regard,Ride It
Tina Turner,We Don't Need Another Hero (Thunderdome)
Mike Posner,I Took A Pill In Ibiza
Justin Bieber & BloodPop,Friends
Nico Santos,Rooftop
Fine Young Cannibals,Good Thing
Alice Merton,Trouble In Paradise
Mike Perry & Shy Martin,The Ocean
Tim Bendzko,Hoch
Justin Timberlake,Mirrors
Goldfrapp,Rocket
Calvin Harris,My Way
Backstreet Boys,I Want It That Way
Rihanna & West Jay-Z,Run This Town
Lauv & Troye Sivan,I'm So Tired
Herbert Grönemeyer,Flugzeuge Im Bauch
Rag'N'Bone Man,Human
Sting,Petrol Head
Echt,Du Trägst Keine Liebe In Dir
Jason Derulo,Whatcha Say
Martin Solveig & Alma,All Stars
Madsen,Ich Tanze Mit Mir Allein
The Night Game,Once In A Lifetime
Everlast,What It's Like
Bosse,Augen zu Musik an
Genesis,No Son Of Mine
Dermot Kennedy,Power Over Me
Celeste,Stop This Flame
Bryan Adams,Summer Of '69
Anne-Marie,Birthday
Usher,Scream
"Calexico, Iron & Wine",NDR 2 Soundcheck live - Radiokonzert
Amy MacDonald,Mr Rock & Roll
Au/ra,Outsiders
Jupiter Jones,Still
Rixton,Hotel Ceiling
Depeche Mode,Personal Jesus
Coldplay,A Sky Full Of Stars - Live in Buenos Aires
"Blunt,James",1973
Red Hot Chili Peppers,Otherside
Madeline Juno,Like Lovers Do
Alex Clare,War Rages On
Linkin Park,Nobody Can Save Me
Kwabs,Perfect Ruin
Phil Collins,I Missed Again
Dotan,Hungry
James Bay,Hold Back The River
Max Giesinger,Wenn sie tanzt
a-ha,Foot of the mountain
Pink,Bad Influence
Stefanie Heinzmann,In The End
Michael Patrick Kelly,Lazarus
Moon Taxi,Two High
Lenny Kravitz,Fly Away
Johannes Oerding,Heimat
SomeKindaWonderful,Reverse
Eurythmics,Walking On Broken Glass
Udo Lindenberg,Wenn Du Gehst
Blanco Brown,The git up
Miley Cyrus,Malibu
Toploader,Dancing in the moonlight
Declan J Donovan,Vienna
Foreigner,Say you will
Jennifer Lopez,Love don't cost a thing
Sarah Connor,Wie schön Du bist
Jason Mraz,Have it all
Lady Gaga,Stupid love
Dean Lewis,Stay awake
The Source,You got the love
Sam Smith,To die for
Imagine Dragons,Whatever it takes
Ava Max,Torn
James Bay,Let it go
The Fray,How to save a life
Millie Turner,Jungle
Martin Garrix feat. Bonn,No sleep
Lenny Kravitz,I belong to you
Post Malone + Swae Lee,Circles
Ed Sheeran,Galway girl
Steve Winwood,Valerie
Rita Ora feat. 6lack,Only want you
Biffy Clyro,Howl
Nikki Vianna,Mambo
Maroon 5 feat. Cardi B,Girls like you
Nik Kershaw,The riddle
Nea,Some say
The Dandy Warhols,Bohemian like you
Dua Lipa,Don't start now
Jamie Lawson,Someone for everyone
Tones And I,Never seen the rain
Robbie Williams,Angels
Johannes Oerding,Alles okay
Felix Jaehn feat. Polina,Book of love
Rihanna,California king bed
YouNotUs + Julian Perretta,Your favourite song
Silbermond,Irgendwas bleibt
Matt Simons,Open up
Alma,Chasing highs
John Mayer,Heartbreak warfare
Harry Styles,Adore you
Mark Ronson,Valerie
Birdy,Skinny love
David Guetta & Sia,Titanium
Phil Collins,Another Day In Paradise
DNCE,Cake By The Ocean
